"biceps","bone","caliper1","caliper2","caliper3","calories","chest","comment","dateTime","fat","hip","lbm","muscle","neck","thigh","visceralFat","waist","water","weight"
0.0,3.2162006,0.0,0.0,0.0,0.0,0.0,"","2021-06-14 09:28",29.939753,0.0,0.0,59.90808,0.0,0.0,13.262251,0.0,50.023018,90.1
0.0,3.2162006,0.0,0.0,0.0,0.0,0.0,"","2021-06-14 09:28",29.939753,0.0,0.0,59.90808,0.0,0.0,13.262251,0.0,50.023018,90.1
0.0,3.2997398,0.0,0.0,0.0,0.0,0.0,"","2021-06-13 10:41",29.936802,0.0,0.0,59.546947,0.0,0.0,13.212475,0.0,50.025124,89.7
0.0,3.2997398,0.0,0.0,0.0,0.0,0.0,"","2021-06-13 10:41",29.936802,0.0,0.0,59.546947,0.0,0.0,13.212475,0.0,50.025124,89.7
0.0,3.1669931,0.0,0.0,0.0,0.0,0.0,"","2021-06-11 09:57",30.125183,0.0,0.0,59.860092,0.0,0.0,13.274694,0.0,49.890617,90.2
0.0,3.1669931,0.0,0.0,0.0,0.0,0.0,"","2021-06-11 09:57",30.125183,0.0,0.0,59.860092,0.0,0.0,13.274694,0.0,49.890617,90.2
0.0,3.2952623,0.0,0.0,0.0,0.0,0.0,"","2021-06-09 10:10",29.610062,0.0,0.0,59.070225,0.0,0.0,13.075588,0.0,50.258415,88.6
0.0,3.2952623,0.0,0.0,0.0,0.0,0.0,"","2021-06-09 10:10",29.610062,0.0,0.0,59.070225,0.0,0.0,13.075588,0.0,50.258415,88.6
0.0,3.180672,0.0,0.0,0.0,0.0,0.0,"","2021-06-08 09:28",30.110104,0.0,0.0,59.860016,0.0,0.0,13.274694,0.0,49.901382,90.2
0.0,3.180672,0.0,0.0,0.0,0.0,0.0,"","2021-06-08 09:28",30.110104,0.0,0.0,59.860016,0.0,0.0,13.274694,0.0,49.901382,90.2
0.0,3.269658,0.0,0.0,0.0,0.0,0.0,"","2021-06-07 10:31",30.1596,0.0,0.0,59.79623,0.0,0.0,13.28714,0.0,49.866043,90.3
0.0,3.269658,0.0,0.0,0.0,0.0,0.0,"","2021-06-07 10:31",30.1596,0.0,0.0,59.79623,0.0,0.0,13.28714,0.0,49.866043,90.3
0.0,3.1871092,0.0,0.0,0.0,0.0,0.0,"","2021-06-02 09:15",30.499357,0.0,0.0,60.127975,0.0,0.0,13.386694,0.0,49.623455,91.1
0.0,3.1871092,0.0,0.0,0.0,0.0,0.0,"","2021-06-02 09:15",30.499357,0.0,0.0,60.127975,0.0,0.0,13.386694,0.0,49.623455,91.1
0.0,3.2222872,0.0,0.0,0.0,0.0,0.0,"","2021-06-01 09:38",30.555296,0.0,0.0,59.972393,0.0,0.0,13.3742485,0.0,49.583515,91.0
0.0,3.2222872,0.0,0.0,0.0,0.0,0.0,"","2021-06-01 09:38",30.555296,0.0,0.0,59.972393,0.0,0.0,13.3742485,0.0,49.583515,91.0
0.0,3.2606003,0.0,0.0,0.0,0.0,0.0,"","2021-05-31 09:05",30.488783,0.0,0.0,60.41167,0.0,0.0,13.448914,0.0,49.631004,91.6
0.0,3.2606003,0.0,0.0,0.0,0.0,0.0,"","2021-05-31 09:05",30.488783,0.0,0.0,60.41167,0.0,0.0,13.448914,0.0,49.631004,91.6
0.0,3.2343564,0.0,0.0,0.0,0.0,0.0,"","2021-05-30 07:16",30.339163,0.0,0.0,60.296326,0.0,0.0,13.3991375,0.0,49.737835,91.2
0.0,3.2343564,0.0,0.0,0.0,0.0,0.0,"","2021-05-30 07:16",30.339163,0.0,0.0,60.296326,0.0,0.0,13.3991375,0.0,49.737835,91.2
0.0,3.3717659,0.0,0.0,0.0,0.0,0.0,"","2021-05-26 09:22",30.39748,0.0,0.0,59.688118,0.0,0.0,13.324472,0.0,49.6962,90.6
0.0,3.3717659,0.0,0.0,0.0,0.0,0.0,"","2021-05-26 09:22",30.39748,0.0,0.0,59.688118,0.0,0.0,13.324472,0.0,49.6962,90.6
0.0,3.3548267,0.0,0.0,0.0,0.0,0.0,"","2021-05-25 09:12",30.38646,0.0,0.0,59.784653,0.0,0.0,13.336916,0.0,49.704067,90.7
0.0,3.3548267,0.0,0.0,0.0,0.0,0.0,"","2021-05-25 09:12",30.38646,0.0,0.0,59.784653,0.0,0.0,13.336916,0.0,49.704067,90.7
0.0,3.2708135,0.0,0.0,0.0,0.0,0.0,"","2021-05-24 09:27",30.759216,0.0,0.0,60.36147,0.0,0.0,13.486246,0.0,49.43792,91.9
0.0,3.2708135,0.0,0.0,0.0,0.0,0.0,"","2021-05-24 09:27",30.759216,0.0,0.0,60.36147,0.0,0.0,13.486246,0.0,49.43792,91.9
0.0,3.220595,0.0,0.0,0.0,0.0,0.0,"","2021-05-23 09:20",30.42,0.0,0.0,59.818886,0.0,0.0,13.324472,0.0,49.68012,90.6
0.0,3.220595,0.0,0.0,0.0,0.0,0.0,"","2021-05-23 09:20",30.42,0.0,0.0,59.818886,0.0,0.0,13.324472,0.0,49.68012,90.6
0.0,3.298976,0.0,0.0,0.0,0.0,0.0,"","2021-05-20 09:45",30.27938,0.0,0.0,59.5193,0.0,0.0,13.262251,0.0,49.78052,90.1
0.0,3.298976,0.0,0.0,0.0,0.0,0.0,"","2021-05-20 09:45",30.27938,0.0,0.0,59.5193,0.0,0.0,13.262251,0.0,49.78052,90.1
0.0,3.2940655,0.0,0.0,0.0,0.0,0.0,"","2021-05-20 09:44",30.218994,0.0,0.0,59.57862,0.0,0.0,13.262251,0.0,49.823635,90.1
0.0,3.2940655,0.0,0.0,0.0,0.0,0.0,"","2021-05-20 09:44",30.218994,0.0,0.0,59.57862,0.0,0.0,13.262251,0.0,49.823635,90.1
0.0,3.3164513,0.0,0.0,0.0,0.0,0.0,"","2021-05-18 09:59",30.408525,0.0,0.0,59.663834,0.0,0.0,13.312027,0.0,49.688313,90.5
0.0,3.3164513,0.0,0.0,0.0,0.0,0.0,"","2021-05-18 09:59",30.408525,0.0,0.0,59.663834,0.0,0.0,13.312027,0.0,49.688313,90.5
0.0,3.2356768,0.0,0.0,0.0,0.0,0.0,"","2021-05-13 09:24",30.412495,0.0,0.0,59.810604,0.0,0.0,13.324472,0.0,49.68548,90.6
0.0,3.2356768,0.0,0.0,0.0,0.0,0.0,"","2021-05-13 09:24",30.412495,0.0,0.0,59.810604,0.0,0.0,13.324472,0.0,49.68548,90.6
0.0,3.265882,0.0,0.0,0.0,0.0,0.0,"","2021-05-11 09:52",30.476702,0.0,0.0,59.930798,0.0,0.0,13.361805,0.0,49.639633,90.9
0.0,3.265882,0.0,0.0,0.0,0.0,0.0,"","2021-05-11 09:52",30.476702,0.0,0.0,59.930798,0.0,0.0,13.361805,0.0,49.639633,90.9
